,RoundIndex,VoterID,Util1,Util2,Util3,NumVotes,NumberOfCandidates,Pref1,Pref2,Pref3,VotesCand1PreVote,VotesCand2PreVote,VotesCand3PreVote,PointsPreVote,Vote,GameIndexInSession,SessionIDX,Action,VotesPref1PreVote,VotesPref2PreVote,VotesPref3PreVote,VotesLeader_poll,VotesRunnerup_poll,VotesThird_poll,GAP12_poll,GAP23_poll,GAP13_poll,GAP12_pref_poll,GAP23_pref_poll,GAP13_pref_poll,Pref3_pos,Pos1_pref,Pref2_pos,Pos2_pref,Pref1_pos,Pos3_pref,Scenario,Scenario_type,GAPL1_Pref_poll,GAPL2_Pref_poll,GAPL3_Pref_poll,Pos12,Pos23,Pos13,PosL1,PosL2,PosL3
0,2,hSoUx17quv3acNj,20,10,0,1007,3,1,3,2,325,341,340,0,2,10,1,3,325,340,341,341,340.0,325,1.0,15.0,16,-15,-1,-16,1.0,3.0,2.0,2.0,3.0,1.0,6,CMP,16,1,0,1.0,1.0,2.0,-2.0,-1.0,0.0
1,3,A1VUSW8L7VUX2O,20,10,-2,1007,3,1,3,2,269,378,359,-2,2,4,1,3,269,359,378,378,359.0,269,19.0,90.0,109,-90,-19,-109,1.0,3.0,2.0,2.0,3.0,1.0,6,CMP,109,19,0,1.0,1.0,2.0,-2.0,-1.0,0.0
2,4,A1VUSW8L7VUX2O,20,10,-2,1007,3,1,3,2,329,347,330,-2,1,5,1,1,329,330,347,347,330.0,329,17.0,1.0,18,-1,-17,-18,1.0,3.0,2.0,2.0,3.0,1.0,6,CMP,18,17,0,1.0,1.0,2.0,-2.0,-1.0,0.0
3,5,A1VUSW8L7VUX2O,20,10,-2,1007,3,3,1,2,269,378,359,-2,2,6,1,3,359,269,378,378,359.0,269,19.0,90.0,109,90,-109,-19,1.0,3.0,3.0,1.0,2.0,2.0,4,SLB,19,109,0,-1.0,2.0,1.0,-1.0,-2.0,0.0
4,6,A1VUSW8L7VUX2O,20,10,-2,1007,3,3,1,2,325,341,340,9,3,7,1,1,340,325,341,341,340.0,325,1.0,15.0,16,15,-16,-1,1.0,3.0,3.0,1.0,2.0,2.0,4,SLB,1,16,0,-1.0,2.0,1.0,-1.0,-2.0,0.0
5,7,A1VUSW8L7VUX2O,20,10,-2,1007,3,3,1,2,318,353,335,-2,1,8,1,2,335,318,353,353,335.0,318,18.0,17.0,35,17,-35,-18,1.0,3.0,3.0,1.0,2.0,2.0,4,SLB,18,35,0,-1.0,2.0,1.0,-1.0,-2.0,0.0
6,8,A1VUSW8L7VUX2O,20,10,-2,1007,3,2,3,1,301,371,334,20,2,9,1,1,371,334,301,371,334.0,301,37.0,33.0,70,37,33,70,3.0,1.0,2.0,2.0,1.0,3.0,1,TRT,0,37,70,-1.0,-1.0,-2.0,0.0,-1.0,-2.0
7,9,A1VUSW8L7VUX2O,20,10,-2,1007,3,2,1,3,290,409,307,20,1,10,1,2,409,290,307,409,307.0,290,102.0,17.0,119,119,-17,102,2.0,1.0,3.0,3.0,1.0,2.0,2,TRT,0,119,102,-2.0,1.0,-1.0,0.0,-2.0,-1.0
8,10,A1VUSW8L7VUX2O,20,10,-2,1007,3,1,2,3,318,353,335,10,2,11,1,2,318,353,335,353,335.0,318,18.0,17.0,35,-35,18,-17,2.0,2.0,1.0,3.0,3.0,1.0,5,CMPLB,35,0,18,2.0,-1.0,1.0,-2.0,0.0,-1.0
9,11,A1VUSW8L7VUX2O,20,10,-2,1007,3,2,1,3,313,365,328,20,2,12,1,1,365,313,328,365,328.0,313,37.0,15.0,52,52,-15,37,2.0,1.0,3.0,3.0,1.0,2.0,2,TRT,0,52,37,-2.0,1.0,-1.0,0.0,-2.0,-1.0
10,12,A1VUSW8L7VUX2O,20,10,-2,1007,3,1,2,3,290,409,307,10,2,13,1,2,290,409,307,409,307.0,290,102.0,17.0,119,-119,102,-17,2.0,2.0,1.0,3.0,3.0,1.0,5,CMPLB,119,0,102,2.0,-1.0,1.0,-2.0,0.0,-1.0
11,13,hSoUx17quv3acNj,20,10,0,1007,3,3,1,2,269,378,359,0,3,11,1,1,359,269,378,378,359.0,269,19.0,90.0,109,90,-109,-19,1.0,3.0,3.0,1.0,2.0,2.0,4,SLB,19,109,0,-1.0,2.0,1.0,-1.0,-2.0,0.0
12,14,A1VUSW8L7VUX2O,20,10,-2,1007,3,3,2,1,290,409,307,10,2,14,1,2,307,409,290,409,307.0,290,102.0,17.0,119,-102,119,17,3.0,2.0,1.0,1.0,2.0,3.0,3,WLB,102,0,119,1.0,-2.0,-1.0,-1.0,0.0,-2.0
13,15,A1VUSW8L7VUX2O,20,10,-2,1007,3,1,3,2,318,353,335,-2,3,15,1,2,318,335,353,353,335.0,318,18.0,17.0,35,-17,-18,-35,1.0,3.0,2.0,2.0,3.0,1.0,6,CMP,35,18,0,1.0,1.0,2.0,-2.0,-1.0,0.0
14,16,A1VUSW8L7VUX2O,20,10,-2,1007,3,3,2,1,313,365,328,10,3,16,1,1,328,365,313,365,328.0,313,37.0,15.0,52,-37,52,15,3.0,2.0,1.0,1.0,2.0,3.0,3,WLB,37,0,52,1.0,-2.0,-1.0,-1.0,0.0,-2.0
15,17,A1VUSW8L7VUX2O,20,10,-2,1006,3,1,3,2,334,336,335,4,3,17,1,2,334,335,336,336,335.0,334,1.0,1.0,2,-1,-1,-2,1.0,3.0,2.0,2.0,3.0,1.0,6,CMP,2,1,0,1.0,1.0,2.0,-2.0,-1.0,0.0
16,18,A1VUSW8L7VUX2O,20,10,-2,1007,3,1,3,2,325,341,340,4,3,18,1,2,325,340,341,341,340.0,325,1.0,15.0,16,-15,-1,-16,1.0,3.0,2.0,2.0,3.0,1.0,6,CMP,16,1,0,1.0,1.0,2.0,-2.0,-1.0,0.0
17,19,A1VUSW8L7VUX2O,20,10,-2,1007,3,3,2,1,318,353,335,10,2,19,1,2,335,353,318,353,335.0,318,18.0,17.0,35,-18,35,17,3.0,2.0,1.0,1.0,2.0,3.0,3,WLB,18,0,35,1.0,-2.0,-1.0,-1.0,0.0,-2.0
18,20,A1VUSW8L7VUX2O,20,10,-2,1007,3,3,2,1,215,565,226,10,2,20,1,2,226,565,215,565,226.0,215,339.0,11.0,350,-339,350,11,3.0,2.0,1.0,1.0,2.0,3.0,3,WLB,339,0,350,1.0,-2.0,-1.0,-1.0,0.0,-2.0
19,21,A1VUSW8L7VUX2O,20,10,-2,1007,3,1,2,3,325,341,340,4,3,21,1,3,325,341,340,341,340.0,325,1.0,15.0,16,-16,1,-15,2.0,2.0,1.0,3.0,3.0,1.0,5,CMPLB,16,0,1,2.0,-1.0,1.0,-2.0,0.0,-1.0
20,22,A1VUSW8L7VUX2O,20,10,-2,1007,3,2,3,1,280,415,311,20,2,22,1,1,415,311,280,415,311.0,280,104.0,31.0,135,104,31,135,3.0,1.0,2.0,2.0,1.0,3.0,1,TRT,0,104,135,-1.0,-1.0,-2.0,0.0,-1.0,-2.0
21,23,A1VUSW8L7VUX2O,20,10,-2,1007,3,3,1,2,275,366,365,-2,2,23,1,3,365,275,366,366,365.0,275,1.0,90.0,91,90,-91,-1,1.0,3.0,3.0,1.0,2.0,2.0,4,SLB,1,91,0,-1.0,2.0,1.0,-1.0,-2.0,0.0
22,24,hSoUx17quv3acNj,20,10,0,1007,3,1,2,3,215,565,226,10,2,12,1,2,215,565,226,565,226.0,215,339.0,11.0,350,-350,339,-11,2.0,2.0,1.0,3.0,3.0,1.0,5,CMPLB,350,0,339,2.0,-1.0,1.0,-2.0,0.0,-1.0
23,25,A1VUSW8L7VUX2O,20,10,-2,1006,3,3,1,2,334,336,335,9,3,24,1,1,335,334,336,336,335.0,334,1.0,1.0,2,1,-2,-1,1.0,3.0,3.0,1.0,2.0,2.0,4,SLB,1,2,0,-1.0,2.0,1.0,-1.0,-2.0,0.0
24,26,A1VUSW8L7VUX2O,20,10,-2,1007,3,1,3,2,333,338,335,-2,3,25,1,2,333,335,338,338,335.0,333,3.0,2.0,5,-2,-3,-5,1.0,3.0,2.0,2.0,3.0,1.0,6,CMP,5,3,0,1.0,1.0,2.0,-2.0,-1.0,0.0
25,27,A1VUSW8L7VUX2O,20,10,-2,1007,3,1,2,3,313,365,328,10,2,26,1,2,313,365,328,365,328.0,313,37.0,15.0,52,-52,37,-15,2.0,2.0,1.0,3.0,3.0,1.0,5,CMPLB,52,0,37,2.0,-1.0,1.0,-2.0,0.0,-1.0
26,28,A1VUSW8L7VUX2O,20,10,-2,1007,3,1,3,2,274,368,364,-2,3,27,1,2,274,364,368,368,364.0,274,4.0,90.0,94,-90,-4,-94,1.0,3.0,2.0,2.0,3.0,1.0,6,CMP,94,4,0,1.0,1.0,2.0,-2.0,-1.0,0.0
27,29,A1VUSW8L7VUX2O,20,10,-2,1007,3,3,1,2,274,368,364,-2,3,28,1,1,364,274,368,368,364.0,274,4.0,90.0,94,90,-94,-4,1.0,3.0,3.0,1.0,2.0,2.0,4,SLB,4,94,0,-1.0,2.0,1.0,-1.0,-2.0,0.0
28,30,A1VUSW8L7VUX2O,20,10,-2,1007,3,3,1,2,333,338,335,-2,3,29,1,1,335,333,338,338,335.0,333,3.0,2.0,5,2,-5,-3,1.0,3.0,3.0,1.0,2.0,2.0,4,SLB,3,5,0,-1.0,2.0,1.0,-1.0,-2.0,0.0
29,31,A1VUSW8L7VUX2O,20,10,-2,1007,3,1,3,2,323,343,340,-2,3,30,1,2,323,340,343,343,340.0,323,3.0,17.0,20,-17,-3,-20,1.0,3.0,2.0,2.0,3.0,1.0,6,CMP,20,3,0,1.0,1.0,2.0,-2.0,-1.0,0.0
30,32,A1VUSW8L7VUX2O,20,10,-2,1007,3,3,1,2,329,347,330,-2,2,31,1,3,330,329,347,347,330.0,329,17.0,1.0,18,1,-18,-17,1.0,3.0,3.0,1.0,2.0,2.0,4,SLB,17,18,0,-1.0,2.0,1.0,-1.0,-2.0,0.0
31,33,A1VUSW8L7VUX2O,20,10,-2,1007,3,1,2,3,215,565,226,10,2,32,1,2,215,565,226,565,226.0,215,339.0,11.0,350,-350,339,-11,2.0,2.0,1.0,3.0,3.0,1.0,5,CMPLB,350,0,339,2.0,-1.0,1.0,-2.0,0.0,-1.0
32,34,A2IWUERDZKMQU2,20,16,0,1007,3,3,1,2,325,341,340,10,3,4,1,1,340,325,341,341,340.0,325,1.0,15.0,16,15,-16,-1,1.0,3.0,3.0,1.0,2.0,2.0,4,SLB,1,16,0,-1.0,2.0,1.0,-1.0,-2.0,0.0
33,35,hSoUx17quv3acNj,20,10,0,1007,3,3,2,1,313,365,328,10,2,13,1,2,328,365,313,365,328.0,313,37.0,15.0,52,-37,52,15,3.0,2.0,1.0,1.0,2.0,3.0,3,WLB,37,0,52,1.0,-2.0,-1.0,-1.0,0.0,-2.0
34,36,A2IWUERDZKMQU2,20,16,0,1007,3,3,1,2,269,378,359,0,3,5,1,1,359,269,378,378,359.0,269,19.0,90.0,109,90,-109,-19,1.0,3.0,3.0,1.0,2.0,2.0,4,SLB,19,109,0,-1.0,2.0,1.0,-1.0,-2.0,0.0
35,37,A2IWUERDZKMQU2,20,16,0,1007,3,1,3,2,269,378,359,0,2,6,1,3,269,359,378,378,359.0,269,19.0,90.0,109,-90,-19,-109,1.0,3.0,2.0,2.0,3.0,1.0,6,CMP,109,19,0,1.0,1.0,2.0,-2.0,-1.0,0.0
36,38,A2IWUERDZKMQU2,20,16,0,1007,3,3,2,1,313,365,328,16,3,7,1,1,328,365,313,365,328.0,313,37.0,15.0,52,-37,52,15,3.0,2.0,1.0,1.0,2.0,3.0,3,WLB,37,0,52,1.0,-2.0,-1.0,-1.0,0.0,-2.0
37,39,A2IWUERDZKMQU2,20,16,0,1007,3,2,1,3,290,409,307,20,2,8,1,1,409,290,307,409,307.0,290,102.0,17.0,119,119,-17,102,2.0,1.0,3.0,3.0,1.0,2.0,2,TRT,0,119,102,-2.0,1.0,-1.0,0.0,-2.0,-1.0
38,40,A2IWUERDZKMQU2,20,16,0,1007,3,3,1,2,275,366,365,10,3,9,1,1,365,275,366,366,365.0,275,1.0,90.0,91,90,-91,-1,1.0,3.0,3.0,1.0,2.0,2.0,4,SLB,1,91,0,-1.0,2.0,1.0,-1.0,-2.0,0.0
39,41,A2IWUERDZKMQU2,20,16,0,1007,3,2,3,1,280,415,311,20,2,10,1,1,415,311,280,415,311.0,280,104.0,31.0,135,104,31,135,3.0,1.0,2.0,2.0,1.0,3.0,1,TRT,0,104,135,-1.0,-1.0,-2.0,0.0,-1.0,-2.0
40,42,A2IWUERDZKMQU2,20,16,0,1007,3,1,3,2,275,366,365,8,3,11,1,2,275,365,366,366,365.0,275,1.0,90.0,91,-90,-1,-91,1.0,3.0,2.0,2.0,3.0,1.0,6,CMP,91,1,0,1.0,1.0,2.0,-2.0,-1.0,0.0
41,43,A2IWUERDZKMQU2,20,16,0,1007,3,3,1,2,329,347,330,0,3,12,1,1,330,329,347,347,330.0,329,17.0,1.0,18,1,-18,-17,1.0,3.0,3.0,1.0,2.0,2.0,4,SLB,17,18,0,-1.0,2.0,1.0,-1.0,-2.0,0.0
42,44,A2IWUERDZKMQU2,20,16,0,1006,3,1,3,2,334,336,335,8,3,13,1,2,334,335,336,336,335.0,334,1.0,1.0,2,-1,-1,-2,1.0,3.0,2.0,2.0,3.0,1.0,6,CMP,2,1,0,1.0,1.0,2.0,-2.0,-1.0,0.0
43,45,A2IWUERDZKMQU2,20,16,0,1007,3,1,2,3,325,341,340,16,2,14,1,2,325,341,340,341,340.0,325,1.0,15.0,16,-16,1,-15,2.0,2.0,1.0,3.0,3.0,1.0,5,CMPLB,16,0,1,2.0,-1.0,1.0,-2.0,0.0,-1.0
44,46,hSoUx17quv3acNj,20,10,0,1007,3,3,1,2,323,343,340,0,3,14,1,1,340,323,343,343,340.0,323,3.0,17.0,20,17,-20,-3,1.0,3.0,3.0,1.0,2.0,2.0,4,SLB,3,20,0,-1.0,2.0,1.0,-1.0,-2.0,0.0
45,47,A2IWUERDZKMQU2,20,16,0,1007,3,1,3,2,318,353,335,0,1,15,1,1,318,335,353,353,335.0,318,18.0,17.0,35,-17,-18,-35,1.0,3.0,2.0,2.0,3.0,1.0,6,CMP,35,18,0,1.0,1.0,2.0,-2.0,-1.0,0.0
46,48,A2IWUERDZKMQU2,20,16,0,1007,3,3,1,2,323,343,340,0,3,16,1,1,340,323,343,343,340.0,323,3.0,17.0,20,17,-20,-3,1.0,3.0,3.0,1.0,2.0,2.0,4,SLB,3,20,0,-1.0,2.0,1.0,-1.0,-2.0,0.0
47,49,A2IWUERDZKMQU2,20,16,0,1006,3,3,1,2,334,336,335,10,3,17,1,1,335,334,336,336,335.0,334,1.0,1.0,2,1,-2,-1,1.0,3.0,3.0,1.0,2.0,2.0,4,SLB,1,2,0,-1.0,2.0,1.0,-1.0,-2.0,0.0
48,50,A2IWUERDZKMQU2,20,16,0,1007,3,1,2,3,290,409,307,16,2,18,1,2,290,409,307,409,307.0,290,102.0,17.0,119,-119,102,-17,2.0,2.0,1.0,3.0,3.0,1.0,5,CMPLB,119,0,102,2.0,-1.0,1.0,-2.0,0.0,-1.0
49,51,A2IWUERDZKMQU2,20,16,0,1007,3,1,2,3,318,353,335,16,2,19,1,2,318,353,335,353,335.0,318,18.0,17.0,35,-35,18,-17,2.0,2.0,1.0,3.0,3.0,1.0,5,CMPLB,35,0,18,2.0,-1.0,1.0,-2.0,0.0,-1.0
50,52,A2IWUERDZKMQU2,20,16,0,1007,3,3,2,1,325,341,340,18,3,20,1,1,340,341,325,341,340.0,325,1.0,15.0,16,-1,16,15,3.0,2.0,1.0,1.0,2.0,3.0,3,WLB,1,0,16,1.0,-2.0,-1.0,-1.0,0.0,-2.0
51,53,A2IWUERDZKMQU2,20,16,0,1007,3,3,1,2,333,338,335,0,3,21,1,1,335,333,338,338,335.0,333,3.0,2.0,5,2,-5,-3,1.0,3.0,3.0,1.0,2.0,2.0,4,SLB,3,5,0,-1.0,2.0,1.0,-1.0,-2.0,0.0
52,54,A2IWUERDZKMQU2,20,16,0,1007,3,1,3,2,325,341,340,8,3,22,1,2,325,340,341,341,340.0,325,1.0,15.0,16,-15,-1,-16,1.0,3.0,2.0,2.0,3.0,1.0,6,CMP,16,1,0,1.0,1.0,2.0,-2.0,-1.0,0.0
53,55,A2IWUERDZKMQU2,20,16,0,1007,3,2,3,1,301,371,334,20,2,23,1,1,371,334,301,371,334.0,301,37.0,33.0,70,37,33,70,3.0,1.0,2.0,2.0,1.0,3.0,1,TRT,0,37,70,-1.0,-1.0,-2.0,0.0,-1.0,-2.0
54,56,hSoUx17quv3acNj,20,10,0,1007,3,1,2,3,313,365,328,10,2,15,1,2,313,365,328,365,328.0,313,37.0,15.0,52,-52,37,-15,2.0,2.0,1.0,3.0,3.0,1.0,5,CMPLB,52,0,37,2.0,-1.0,1.0,-2.0,0.0,-1.0
55,57,A2IWUERDZKMQU2,20,16,0,1007,3,3,2,1,215,565,226,16,2,24,1,2,226,565,215,565,226.0,215,339.0,11.0,350,-339,350,11,3.0,2.0,1.0,1.0,2.0,3.0,3,WLB,339,0,350,1.0,-2.0,-1.0,-1.0,0.0,-2.0
56,58,A2IWUERDZKMQU2,20,16,0,1007,3,1,3,2,274,368,364,0,3,25,1,2,274,364,368,368,364.0,274,4.0,90.0,94,-90,-4,-94,1.0,3.0,2.0,2.0,3.0,1.0,6,CMP,94,4,0,1.0,1.0,2.0,-2.0,-1.0,0.0
57,59,A2IWUERDZKMQU2,20,16,0,1007,3,1,3,2,323,343,340,0,3,26,1,2,323,340,343,343,340.0,323,3.0,17.0,20,-17,-3,-20,1.0,3.0,2.0,2.0,3.0,1.0,6,CMP,20,3,0,1.0,1.0,2.0,-2.0,-1.0,0.0
58,60,A2IWUERDZKMQU2,20,16,0,1007,3,3,1,2,274,368,364,0,3,27,1,1,364,274,368,368,364.0,274,4.0,90.0,94,90,-94,-4,1.0,3.0,3.0,1.0,2.0,2.0,4,SLB,4,94,0,-1.0,2.0,1.0,-1.0,-2.0,0.0
59,61,A2IWUERDZKMQU2,20,16,0,1007,3,1,2,3,313,365,328,16,2,28,1,2,313,365,328,365,328.0,313,37.0,15.0,52,-52,37,-15,2.0,2.0,1.0,3.0,3.0,1.0,5,CMPLB,52,0,37,2.0,-1.0,1.0,-2.0,0.0,-1.0
60,62,A2IWUERDZKMQU2,20,16,0,1007,3,3,2,1,290,409,307,16,2,29,1,2,307,409,290,409,307.0,290,102.0,17.0,119,-102,119,17,3.0,2.0,1.0,1.0,2.0,3.0,3,WLB,102,0,119,1.0,-2.0,-1.0,-1.0,0.0,-2.0
61,63,A2IWUERDZKMQU2,20,16,0,1007,3,1,3,2,333,338,335,0,3,30,1,2,333,335,338,338,335.0,333,3.0,2.0,5,-2,-3,-5,1.0,3.0,2.0,2.0,3.0,1.0,6,CMP,5,3,0,1.0,1.0,2.0,-2.0,-1.0,0.0
62,64,A2IWUERDZKMQU2,20,16,0,1007,3,2,1,3,313,365,328,20,2,31,1,1,365,313,328,365,328.0,313,37.0,15.0,52,52,-15,37,2.0,1.0,3.0,3.0,1.0,2.0,2,TRT,0,52,37,-2.0,1.0,-1.0,0.0,-2.0,-1.0
63,65,A2IWUERDZKMQU2,20,16,0,1007,3,3,2,1,318,353,335,16,2,32,1,2,335,353,318,353,335.0,318,18.0,17.0,35,-18,35,17,3.0,2.0,1.0,1.0,2.0,3.0,3,WLB,18,0,35,1.0,-2.0,-1.0,-1.0,0.0,-2.0
64,67,hSoUx17quv3acNj,20,10,0,1007,3,3,1,2,329,347,330,0,3,16,1,1,330,329,347,347,330.0,329,17.0,1.0,18,1,-18,-17,1.0,3.0,3.0,1.0,2.0,2.0,4,SLB,17,18,0,-1.0,2.0,1.0,-1.0,-2.0,0.0
65,69,A2IWUERDZKMQU2,20,16,0,1007,3,1,3,2,329,347,330,0,1,3,1,1,329,330,347,347,330.0,329,17.0,1.0,18,-1,-17,-18,1.0,3.0,2.0,2.0,3.0,1.0,6,CMP,18,17,0,1.0,1.0,2.0,-2.0,-1.0,0.0
66,71,A3PFJ6NJJQJDP3,20,10,-2,1007,3,1,3,2,269,378,359,-2,3,2,1,2,269,359,378,378,359.0,269,19.0,90.0,109,-90,-19,-109,1.0,3.0,2.0,2.0,3.0,1.0,6,CMP,109,19,0,1.0,1.0,2.0,-2.0,-1.0,0.0
67,72,A3PFJ6NJJQJDP3,20,10,-2,1007,3,2,1,3,290,409,307,20,2,3,1,1,409,290,307,409,307.0,290,102.0,17.0,119,119,-17,102,2.0,1.0,3.0,3.0,1.0,2.0,2,TRT,0,119,102,-2.0,1.0,-1.0,0.0,-2.0,-1.0
68,74,A3PFJ6NJJQJDP3,20,10,-2,1007,3,2,3,1,301,371,334,20,2,4,1,1,371,334,301,371,334.0,301,37.0,33.0,70,37,33,70,3.0,1.0,2.0,2.0,1.0,3.0,1,TRT,0,37,70,-1.0,-1.0,-2.0,0.0,-1.0,-2.0
69,75,A1WR7N7SIYSRHQ,20,10,2,1007,3,3,1,2,269,378,359,2,2,2,1,3,359,269,378,378,359.0,269,19.0,90.0,109,90,-109,-19,1.0,3.0,3.0,1.0,2.0,2.0,4,SLB,19,109,0,-1.0,2.0,1.0,-1.0,-2.0,0.0
70,76,A3PFJ6NJJQJDP3,20,10,-2,1007,3,1,2,3,313,365,328,10,1,5,1,1,313,365,328,365,328.0,313,37.0,15.0,52,-52,37,-15,2.0,2.0,1.0,3.0,3.0,1.0,5,CMPLB,52,0,37,2.0,-1.0,1.0,-2.0,0.0,-1.0
71,77,hSoUx17quv3acNj,20,10,0,1007,3,3,1,2,318,353,335,0,3,17,1,1,335,318,353,353,335.0,318,18.0,17.0,35,17,-35,-18,1.0,3.0,3.0,1.0,2.0,2.0,4,SLB,18,35,0,-1.0,2.0,1.0,-1.0,-2.0,0.0
72,78,A3PFJ6NJJQJDP3,20,10,-2,1007,3,1,2,3,215,565,226,10,1,6,1,1,215,565,226,565,226.0,215,339.0,11.0,350,-350,339,-11,2.0,2.0,1.0,3.0,3.0,1.0,5,CMPLB,350,0,339,2.0,-1.0,1.0,-2.0,0.0,-1.0
73,79,A1WR7N7SIYSRHQ,20,10,2,1007,3,2,3,1,280,415,311,20,2,3,1,1,415,311,280,415,311.0,280,104.0,31.0,135,104,31,135,3.0,1.0,2.0,2.0,1.0,3.0,1,TRT,0,104,135,-1.0,-1.0,-2.0,0.0,-1.0,-2.0
74,80,A3PFJ6NJJQJDP3,20,10,-2,1007,3,3,1,2,323,343,340,-2,3,7,1,1,340,323,343,343,340.0,323,3.0,17.0,20,17,-20,-3,1.0,3.0,3.0,1.0,2.0,2.0,4,SLB,3,20,0,-1.0,2.0,1.0,-1.0,-2.0,0.0
75,82,A3PFJ6NJJQJDP3,20,10,-2,1007,3,3,1,2,329,347,330,-2,3,8,1,1,330,329,347,347,330.0,329,17.0,1.0,18,1,-18,-17,1.0,3.0,3.0,1.0,2.0,2.0,4,SLB,17,18,0,-1.0,2.0,1.0,-1.0,-2.0,0.0
76,83,A1WR7N7SIYSRHQ,20,10,2,1007,3,1,3,2,333,338,335,2,2,4,1,3,333,335,338,338,335.0,333,3.0,2.0,5,-2,-3,-5,1.0,3.0,2.0,2.0,3.0,1.0,6,CMP,5,3,0,1.0,1.0,2.0,-2.0,-1.0,0.0
77,84,A3PFJ6NJJQJDP3,20,10,-2,1007,3,3,2,1,318,353,335,10,3,9,1,1,335,353,318,353,335.0,318,18.0,17.0,35,-18,35,17,3.0,2.0,1.0,1.0,2.0,3.0,3,WLB,18,0,35,1.0,-2.0,-1.0,-1.0,0.0,-2.0
78,85,A3PFJ6NJJQJDP3,20,10,-2,1007,3,1,3,2,274,368,364,-2,1,10,1,1,274,364,368,368,364.0,274,4.0,90.0,94,-90,-4,-94,1.0,3.0,2.0,2.0,3.0,1.0,6,CMP,94,4,0,1.0,1.0,2.0,-2.0,-1.0,0.0
79,86,A3PFJ6NJJQJDP3,20,10,-2,1006,3,3,1,2,334,336,335,9,3,11,1,1,335,334,336,336,335.0,334,1.0,1.0,2,1,-2,-1,1.0,3.0,3.0,1.0,2.0,2.0,4,SLB,1,2,0,-1.0,2.0,1.0,-1.0,-2.0,0.0
80,87,A1WR7N7SIYSRHQ,20,10,2,1007,3,3,1,2,274,368,364,2,2,5,1,3,364,274,368,368,364.0,274,4.0,90.0,94,90,-94,-4,1.0,3.0,3.0,1.0,2.0,2.0,4,SLB,4,94,0,-1.0,2.0,1.0,-1.0,-2.0,0.0
81,88,hSoUx17quv3acNj,20,10,0,1007,3,1,3,2,275,366,365,0,1,18,1,1,275,365,366,366,365.0,275,1.0,90.0,91,-90,-1,-91,1.0,3.0,2.0,2.0,3.0,1.0,6,CMP,91,1,0,1.0,1.0,2.0,-2.0,-1.0,0.0
82,89,A3PFJ6NJJQJDP3,20,10,-2,1007,3,3,1,2,269,378,359,-2,3,12,1,1,359,269,378,378,359.0,269,19.0,90.0,109,90,-109,-19,1.0,3.0,3.0,1.0,2.0,2.0,4,SLB,19,109,0,-1.0,2.0,1.0,-1.0,-2.0,0.0
83,90,A3PFJ6NJJQJDP3,20,10,-2,1007,3,3,2,1,290,409,307,10,3,13,1,1,307,409,290,409,307.0,290,102.0,17.0,119,-102,119,17,3.0,2.0,1.0,1.0,2.0,3.0,3,WLB,102,0,119,1.0,-2.0,-1.0,-1.0,0.0,-2.0
84,91,A1WR7N7SIYSRHQ,20,10,2,1006,3,1,3,2,334,336,335,6,3,6,1,2,334,335,336,336,335.0,334,1.0,1.0,2,-1,-1,-2,1.0,3.0,2.0,2.0,3.0,1.0,6,CMP,2,1,0,1.0,1.0,2.0,-2.0,-1.0,0.0
85,92,A3PFJ6NJJQJDP3,20,10,-2,1007,3,3,1,2,274,368,364,-2,3,14,1,1,364,274,368,368,364.0,274,4.0,90.0,94,90,-94,-4,1.0,3.0,3.0,1.0,2.0,2.0,4,SLB,4,94,0,-1.0,2.0,1.0,-1.0,-2.0,0.0
86,93,A1WR7N7SIYSRHQ,20,10,2,1007,3,3,2,1,318,353,335,10,2,7,1,2,335,353,318,353,335.0,318,18.0,17.0,35,-18,35,17,3.0,2.0,1.0,1.0,2.0,3.0,3,WLB,18,0,35,1.0,-2.0,-1.0,-1.0,0.0,-2.0
87,94,A3PFJ6NJJQJDP3,20,10,-2,1007,3,3,2,1,325,341,340,15,3,15,1,1,340,341,325,341,340.0,325,1.0,15.0,16,-1,16,15,3.0,2.0,1.0,1.0,2.0,3.0,3,WLB,1,0,16,1.0,-2.0,-1.0,-1.0,0.0,-2.0
88,95,A1WR7N7SIYSRHQ,20,10,2,1007,3,3,1,2,318,353,335,2,3,8,1,1,335,318,353,353,335.0,318,18.0,17.0,35,17,-35,-18,1.0,3.0,3.0,1.0,2.0,2.0,4,SLB,18,35,0,-1.0,2.0,1.0,-1.0,-2.0,0.0
89,97,A3PFJ6NJJQJDP3,20,10,-2,1007,3,1,3,2,329,347,330,-2,1,16,1,1,329,330,347,347,330.0,329,17.0,1.0,18,-1,-17,-18,1.0,3.0,2.0,2.0,3.0,1.0,6,CMP,18,17,0,1.0,1.0,2.0,-2.0,-1.0,0.0
90,99,hSoUx17quv3acNj,20,10,0,1007,3,2,3,1,280,415,311,20,2,19,1,1,415,311,280,415,311.0,280,104.0,31.0,135,104,31,135,3.0,1.0,2.0,2.0,1.0,3.0,1,TRT,0,104,135,-1.0,-1.0,-2.0,0.0,-1.0,-2.0
91,100,A1WR7N7SIYSRHQ,20,10,2,1007,3,1,3,2,274,368,364,2,2,9,1,3,274,364,368,368,364.0,274,4.0,90.0,94,-90,-4,-94,1.0,3.0,2.0,2.0,3.0,1.0,6,CMP,94,4,0,1.0,1.0,2.0,-2.0,-1.0,0.0
