,RoundIndex,VoterID,Util1,Util2,Util3,NumVotes,NumberOfCandidates,Pref1,Pref2,Pref3,VotesCand1PreVote,VotesCand2PreVote,VotesCand3PreVote,PointsPreVote,Vote,GameIndexInSession,SessionIDX,Action,VotesPref1PreVote,VotesPref2PreVote,VotesPref3PreVote,VotesLeader_poll,VotesRunnerup_poll,VotesThird_poll,GAP12_poll,GAP23_poll,GAP13_poll,GAP12_pref_poll,GAP23_pref_poll,GAP13_pref_poll,Pref3_pos,Pos1_pref,Pref2_pos,Pos2_pref,Pref1_pos,Pos3_pref,Scenario,Scenario_type,GAPL1_Pref_poll,GAPL2_Pref_poll,GAPL3_Pref_poll,Pos12,Pos23,Pos13,PosL1,PosL2,PosL3
3922,4672,A1Y2276VR3MBUA,20,10,0,1007,3,3,1,2,329,347,330,0,2,23,1,3,330,329,347,347,330.0,329,17.0,1.0,18,1,-18,-17,1.0,3.0,3.0,1.0,2.0,2.0,4,SLB,17,18,0,-1.0,2.0,1.0,-1.0,-2.0,0.0
3923,4673,A1Y2276VR3MBUA,20,10,0,1007,3,1,2,3,290,409,307,10,2,24,1,2,290,409,307,409,307.0,290,102.0,17.0,119,-119,102,-17,2.0,2.0,1.0,3.0,3.0,1.0,5,CMPLB,119,0,102,2.0,-1.0,1.0,-2.0,0.0,-1.0
3924,4674,A1Y2276VR3MBUA,20,10,0,1007,3,2,1,3,313,365,328,20,1,25,1,2,365,313,328,365,328.0,313,37.0,15.0,52,52,-15,37,2.0,1.0,3.0,3.0,1.0,2.0,2,TRT,0,52,37,-2.0,1.0,-1.0,0.0,-2.0,-1.0
3925,4675,A1Y2276VR3MBUA,20,10,0,1007,3,1,3,2,323,343,340,0,1,26,1,1,323,340,343,343,340.0,323,3.0,17.0,20,-17,-3,-20,1.0,3.0,2.0,2.0,3.0,1.0,6,CMP,20,3,0,1.0,1.0,2.0,-2.0,-1.0,0.0
3926,4676,A1Y2276VR3MBUA,20,10,0,1006,3,3,1,2,334,336,335,10,3,27,1,1,335,334,336,336,335.0,334,1.0,1.0,2,1,-2,-1,1.0,3.0,3.0,1.0,2.0,2.0,4,SLB,1,2,0,-1.0,2.0,1.0,-1.0,-2.0,0.0
3927,4677,A1Y2276VR3MBUA,20,10,0,1007,3,1,2,3,215,565,226,10,2,28,1,2,215,565,226,565,226.0,215,339.0,11.0,350,-350,339,-11,2.0,2.0,1.0,3.0,3.0,1.0,5,CMPLB,350,0,339,2.0,-1.0,1.0,-2.0,0.0,-1.0
3928,4678,A1Y2276VR3MBUA,20,10,0,1007,3,2,3,1,301,371,334,20,2,29,1,1,371,334,301,371,334.0,301,37.0,33.0,70,37,33,70,3.0,1.0,2.0,2.0,1.0,3.0,1,TRT,0,37,70,-1.0,-1.0,-2.0,0.0,-1.0,-2.0
3929,4679,ANWWLIPXD3WU,20,10,-2,1007,3,3,1,2,329,347,330,-2,2,7,1,3,330,329,347,347,330.0,329,17.0,1.0,18,1,-18,-17,1.0,3.0,3.0,1.0,2.0,2.0,4,SLB,17,18,0,-1.0,2.0,1.0,-1.0,-2.0,0.0
3930,4680,A1Y2276VR3MBUA,20,10,0,1007,3,1,3,2,333,338,335,0,1,30,1,1,333,335,338,338,335.0,333,3.0,2.0,5,-2,-3,-5,1.0,3.0,2.0,2.0,3.0,1.0,6,CMP,5,3,0,1.0,1.0,2.0,-2.0,-1.0,0.0
3931,4681,A1Y2276VR3MBUA,20,10,0,1007,3,1,3,2,325,341,340,0,1,31,1,1,325,340,341,341,340.0,325,1.0,15.0,16,-15,-1,-16,1.0,3.0,2.0,2.0,3.0,1.0,6,CMP,16,1,0,1.0,1.0,2.0,-2.0,-1.0,0.0
