,RoundIndex,VoterID,Util1,Util2,Util3,NumberOfCandidates,NumVotes,Pref1,Pref2,Pref3,VotesCand1PreVote,VotesCand2PreVote,VotesCand3PreVote,PointsPreVote,Vote,GameIndexInSession,SessionIDX,Action,VotesPref1PreVote,VotesPref2PreVote,VotesPref3PreVote,VotesLeader_poll,VotesRunnerup_poll,VotesThird_poll,GAP12_poll,GAP23_poll,GAP13_poll,GAP12_pref_poll,GAP23_pref_poll,GAP13_pref_poll,Pref3_pos,Pos1_pref,Pref1_pos,Pos2_pref,Pref2_pos,Pos3_pref,Scenario,Scenario_type,GAPL1_Pref_poll,GAPL2_Pref_poll,GAPL3_Pref_poll,Pos12,Pos23,Pos13,PosL1,PosL2,PosL3
4193,10554,AHTJJ0KDJ6ZIA,20,10,0,3,1007,3,1,2,275,366,365,10,3,6,1,1,365,275,366,366,365.0,275,1.0,90.0,91,90,-91,-1,1.0,3.0,2.0,1.0,3.0,2.0,4,SLB,1,91,0,-1.0,2.0,1.0,-1.0,-2.0,0.0
4194,10555,A1CY01G7686ORZ,20,10,0,3,1007,1,2,3,215,565,226,10,2,10,1,2,215,565,226,565,226.0,215,339.0,11.0,350,-350,339,-11,2.0,2.0,3.0,3.0,1.0,1.0,5,CMPLB,350,0,339,2.0,-1.0,1.0,-2.0,0.0,-1.0
4195,10556,A3HMLCBND31TW8,20,10,0,3,1007,1,3,2,333,338,335,0,2,21,1,3,333,335,338,338,335.0,333,3.0,2.0,5,-2,-3,-5,1.0,3.0,3.0,2.0,2.0,1.0,6,CMP,5,3,0,1.0,1.0,2.0,-2.0,-1.0,0.0
4196,10557,A3779AAVHVT6EQ,20,10,0,3,1007,1,3,2,323,343,340,0,3,17,1,2,323,340,343,343,340.0,323,3.0,17.0,20,-17,-3,-20,1.0,3.0,3.0,2.0,2.0,1.0,6,CMP,20,3,0,1.0,1.0,2.0,-2.0,-1.0,0.0
4197,10559,A1CY01G7686ORZ,20,10,0,3,1007,1,2,3,318,353,335,10,2,11,1,2,318,353,335,353,335.0,318,18.0,17.0,35,-35,18,-17,2.0,2.0,3.0,3.0,1.0,1.0,5,CMPLB,35,0,18,2.0,-1.0,1.0,-2.0,0.0,-1.0
4198,10560,AFJPRRP32NK7T,20,10,0,3,1007,1,2,3,323,343,340,10,2,12,1,2,323,343,340,343,340.0,323,3.0,17.0,20,-20,3,-17,2.0,2.0,3.0,3.0,1.0,1.0,5,CMPLB,20,0,3,2.0,-1.0,1.0,-2.0,0.0,-1.0
4199,10561,A3779AAVHVT6EQ,20,10,0,3,1007,1,3,2,274,368,364,0,3,18,1,2,274,364,368,368,364.0,274,4.0,90.0,94,-90,-4,-94,1.0,3.0,3.0,2.0,2.0,1.0,6,CMP,94,4,0,1.0,1.0,2.0,-2.0,-1.0,0.0
4200,10562,A3HMLCBND31TW8,20,10,0,3,1007,1,3,2,323,343,340,0,3,22,1,2,323,340,343,343,340.0,323,3.0,17.0,20,-17,-3,-20,1.0,3.0,3.0,2.0,2.0,1.0,6,CMP,20,3,0,1.0,1.0,2.0,-2.0,-1.0,0.0
4201,10563,AHTJJ0KDJ6ZIA,20,10,0,3,1007,1,2,3,318,353,335,10,2,7,1,2,318,353,335,353,335.0,318,18.0,17.0,35,-35,18,-17,2.0,2.0,3.0,3.0,1.0,1.0,5,CMPLB,35,0,18,2.0,-1.0,1.0,-2.0,0.0,-1.0
4202,10564,AZ5ZYUCAQ0XDL,20,10,0,3,1007,1,2,3,325,341,340,10,2,18,1,2,325,341,340,341,340.0,325,1.0,15.0,16,-16,1,-15,2.0,2.0,3.0,3.0,1.0,1.0,5,CMPLB,16,0,1,2.0,-1.0,1.0,-2.0,0.0,-1.0
