,NumberOfCandidates,Util1,Util2,Util3,NumVotes,GameIndexInSession,SessionIDX,VoterID,Pref1,Pref2,Pref3,Action,VotesCand1PreVote,VotesCand2PreVote,VotesCand3PreVote,RoundIndex,Vote,VotesPref1PreVote,VotesPref2PreVote,VotesPref3PreVote,VotesLeader_poll,VotesRunnerup_poll,VotesThird_poll,GAP12_poll,GAP23_poll,GAP13_poll,GAP12_pref_poll,GAP23_pref_poll,GAP13_pref_poll,Pref1_pos,Pos1_pref,Pref2_pos,Pos2_pref,Pref3_pos,Pos3_pref,Scenario,Scenario_type,GAPL1_Pref_poll,GAPL2_Pref_poll,GAPL3_Pref_poll,Pos12,Pos23,Pos13,PosL1,PosL2,PosL3
6562,3,20,10,0,1009,12,1,OTXxWg,2,3,1,3,404,302,302,6563,2,302,302,404,404,302.0,302,102.0,0.0,102,0,-102,-102,2.0,3.0,3.0,1.0,1.0,2.0,4,SLB,102,102,0,-1.0,2.0,1.0,-1.0,-2.0,0.0
6563,3,20,10,0,1009,18,1,P5L2Pk,3,1,2,2,461,438,109,6564,3,109,461,438,461,438.0,109,23.0,329.0,352,-352,23,-329,3.0,2.0,1.0,3.0,2.0,1.0,5,CMPLB,352,0,23,2.0,-1.0,1.0,-2.0,0.0,-1.0
6564,3,20,10,0,1009,12,1,KnhXvQ,1,2,3,1,460,438,110,6565,1,460,438,110,460,438.0,110,22.0,328.0,350,22,328,350,1.0,1.0,2.0,2.0,3.0,3.0,1,TRT,0,22,350,-1.0,-1.0,-2.0,0.0,-1.0,-2.0
6565,3,20,10,0,1009,19,1,P5L2Pk,2,1,3,2,344,340,324,6566,1,340,344,324,344,340.0,324,4.0,16.0,20,-4,20,16,2.0,2.0,1.0,1.0,3.0,3.0,3,WLB,4,0,20,1.0,-2.0,-1.0,-1.0,0.0,-2.0
6566,3,20,10,0,1009,13,1,OTXxWg,3,2,1,3,475,356,177,6567,1,177,356,475,475,356.0,177,119.0,179.0,298,-179,-119,-298,3.0,3.0,2.0,2.0,1.0,1.0,6,CMP,298,119,0,1.0,1.0,2.0,-2.0,-1.0,0.0
6567,3,20,10,0,1009,20,1,P5L2Pk,2,3,1,1,344,340,324,6568,3,340,324,344,344,340.0,324,4.0,16.0,20,16,-20,-4,2.0,3.0,3.0,1.0,1.0,2.0,4,SLB,4,20,0,-1.0,2.0,1.0,-1.0,-2.0,0.0
6568,3,20,10,0,1008,13,1,KnhXvQ,1,2,3,1,336,336,335,6569,1,336,336,335,336,336.0,335,0.0,1.0,1,0,1,1,1.0,1.0,2.0,2.0,3.0,3.0,1,TRT,0,0,1,-1.0,-1.0,-2.0,0.0,-1.0,-2.0
6569,3,20,10,0,1009,21,1,P5L2Pk,3,1,2,2,340,336,332,6570,3,332,340,336,340,336.0,332,4.0,4.0,8,-8,4,-4,3.0,2.0,1.0,3.0,2.0,1.0,5,CMPLB,8,0,4,2.0,-1.0,1.0,-2.0,0.0,-1.0
6570,3,20,10,0,1009,14,1,KnhXvQ,1,2,3,1,474,356,178,6571,1,474,356,178,474,356.0,178,118.0,178.0,296,118,178,296,1.0,1.0,2.0,2.0,3.0,3.0,1,TRT,0,118,296,-1.0,-1.0,-2.0,0.0,-1.0,-2.0
6571,3,20,10,0,1010,15,1,K0hxMJ,3,2,1,1,405,304,300,6572,3,300,304,405,405,304.0,300,101.0,4.0,105,-4,-101,-105,3.0,3.0,2.0,2.0,1.0,1.0,6,CMP,105,101,0,1.0,1.0,2.0,-2.0,-1.0,0.0
6572,3,20,10,0,1009,4,1,VOm6nZ,3,1,2,3,338,337,333,6573,1,333,338,337,338,337.0,333,1.0,4.0,5,-5,1,-4,3.0,2.0,1.0,3.0,2.0,1.0,5,CMPLB,5,0,1,2.0,-1.0,1.0,-2.0,0.0,-1.0
6573,3,20,10,0,1009,22,1,P5L2Pk,1,3,2,1,450,446,112,6574,1,450,112,446,450,446.0,112,4.0,334.0,338,338,-334,4,1.0,1.0,3.0,3.0,2.0,2.0,2,TRT,0,338,4,-2.0,1.0,-1.0,0.0,-2.0,-1.0
6574,3,20,10,0,1009,15,1,KnhXvQ,2,1,3,1,406,401,201,6575,2,401,406,201,406,401.0,201,5.0,200.0,205,-5,205,200,2.0,2.0,1.0,1.0,3.0,3.0,3,WLB,5,0,205,1.0,-2.0,-1.0,-1.0,0.0,-2.0
6575,3,20,10,0,1009,23,1,P5L2Pk,2,3,1,1,410,306,292,6576,3,306,292,410,410,306.0,292,104.0,14.0,118,14,-118,-104,2.0,3.0,3.0,1.0,1.0,2.0,4,SLB,104,118,0,-1.0,2.0,1.0,-1.0,-2.0,0.0
6576,3,20,10,0,1009,16,1,KnhXvQ,2,3,1,1,449,447,112,6577,3,447,112,449,449,447.0,112,2.0,335.0,337,335,-337,-2,2.0,3.0,3.0,1.0,1.0,2.0,4,SLB,2,337,0,-1.0,2.0,1.0,-1.0,-2.0,0.0
6577,3,20,10,0,1009,24,1,P5L2Pk,3,2,1,2,366,330,312,6578,2,312,330,366,366,330.0,312,36.0,18.0,54,-18,-36,-54,3.0,3.0,2.0,2.0,1.0,1.0,6,CMP,54,36,0,1.0,1.0,2.0,-2.0,-1.0,0.0
6578,3,20,10,0,1009,14,1,OTXxWg,3,1,2,2,354,336,318,6579,3,318,354,336,354,336.0,318,18.0,18.0,36,-36,18,-18,3.0,2.0,1.0,3.0,2.0,1.0,5,CMPLB,36,0,18,2.0,-1.0,1.0,-2.0,0.0,-1.0
6579,3,20,10,0,1010,25,1,P5L2Pk,1,2,3,1,520,391,98,6580,1,520,391,98,520,391.0,98,129.0,293.0,422,129,293,422,1.0,1.0,2.0,2.0,3.0,3.0,1,TRT,0,129,422,-1.0,-1.0,-2.0,0.0,-1.0,-2.0
6580,3,20,10,0,1009,5,1,VOm6nZ,3,2,1,1,340,336,332,6581,3,332,336,340,340,336.0,332,4.0,4.0,8,-4,-4,-8,3.0,3.0,2.0,2.0,1.0,1.0,6,CMP,8,4,0,1.0,1.0,2.0,-2.0,-1.0,0.0
6581,3,20,10,0,1009,17,1,KnhXvQ,2,1,3,1,451,445,112,6582,2,445,451,112,451,445.0,112,6.0,333.0,339,-6,339,333,2.0,2.0,1.0,1.0,3.0,3.0,3,WLB,6,0,339,1.0,-2.0,-1.0,-1.0,0.0,-2.0
6582,3,20,10,0,1009,1,1,I1taKE,2,1,3,2,349,331,328,6583,1,331,349,328,349,331.0,328,18.0,3.0,21,-18,21,3,2.0,2.0,1.0,1.0,3.0,3.0,3,WLB,18,0,21,1.0,-2.0,-1.0,-1.0,0.0,-2.0
6583,3,20,10,0,1009,26,1,P5L2Pk,3,2,1,3,410,307,291,6584,1,291,307,410,410,307.0,291,103.0,16.0,119,-16,-103,-119,3.0,3.0,2.0,2.0,1.0,1.0,6,CMP,119,103,0,1.0,1.0,2.0,-2.0,-1.0,0.0
6584,3,20,10,0,1009,15,1,OTXxWg,2,3,1,1,461,437,110,6585,3,437,110,461,461,437.0,110,24.0,327.0,351,327,-351,-24,2.0,3.0,3.0,1.0,1.0,2.0,4,SLB,24,351,0,-1.0,2.0,1.0,-1.0,-2.0,0.0
6585,3,20,10,0,1009,4,1,KRyfCz,2,3,1,1,475,426,107,6586,3,426,107,475,475,426.0,107,49.0,319.0,368,319,-368,-49,2.0,3.0,3.0,1.0,1.0,2.0,4,SLB,49,368,0,-1.0,2.0,1.0,-1.0,-2.0,0.0
6586,3,20,10,0,1009,18,1,KnhXvQ,2,1,3,2,461,437,110,6587,1,437,461,110,461,437.0,110,24.0,327.0,351,-24,351,327,2.0,2.0,1.0,1.0,3.0,3.0,3,WLB,24,0,351,1.0,-2.0,-1.0,-1.0,0.0,-2.0
6587,3,20,10,0,1009,27,1,P5L2Pk,3,2,1,3,673,269,66,6588,1,66,269,673,673,269.0,66,404.0,203.0,607,-203,-404,-607,3.0,3.0,2.0,2.0,1.0,1.0,6,CMP,607,404,0,1.0,1.0,2.0,-2.0,-1.0,0.0
6588,3,20,10,0,1009,19,1,KnhXvQ,2,3,1,1,344,340,324,6589,3,340,324,344,344,340.0,324,4.0,16.0,20,16,-20,-4,2.0,3.0,3.0,1.0,1.0,2.0,4,SLB,4,20,0,-1.0,2.0,1.0,-1.0,-2.0,0.0
6589,3,20,10,0,1009,16,1,OTXxWg,3,2,1,3,631,252,125,6590,1,125,252,631,631,252.0,125,379.0,127.0,506,-127,-379,-506,3.0,3.0,2.0,2.0,1.0,1.0,6,CMP,506,379,0,1.0,1.0,2.0,-2.0,-1.0,0.0
6590,3,20,10,0,1010,0,1,JaepXc,2,1,3,2,361,324,324,6591,1,324,361,324,361,324.0,324,37.0,0.0,37,-37,37,0,2.0,2.0,1.0,1.0,3.0,3.0,3,WLB,37,0,37,1.0,-2.0,-1.0,-1.0,0.0,-2.0
6591,3,20,10,0,1009,28,1,P5L2Pk,2,1,3,2,340,335,333,6592,1,335,340,333,340,335.0,333,5.0,2.0,7,-5,7,2,2.0,2.0,1.0,1.0,3.0,3.0,3,WLB,5,0,7,1.0,-2.0,-1.0,-1.0,0.0,-2.0
