,RoundIndex,Action,Pref1,Pref2,Pref3,Scenario,Util1,Util2,Util3,NumberOfCandidates,VoterID,VotesCand1PreVote,VotesCand2PreVote,VotesCand3PreVote,SessionIDX,Vote,VotesPref1PreVote,VotesPref2PreVote,VotesPref3PreVote,VotesLeader_poll,VotesRunnerup_poll,VotesThird_poll,GAP12_poll,GAP23_poll,GAP13_poll,GAP12_pref_poll,GAP23_pref_poll,GAP13_pref_poll,Pref1_pos,Pos1_pref,Pref3_pos,Pos2_pref,Pref2_pos,Pos3_pref,Scenario_type,GAPL1_Pref_poll,GAPL2_Pref_poll,GAPL3_Pref_poll,Pos12,Pos23,Pos13,PosL1,PosL2,PosL3
0,0,1,2,3,1,2,10,3,1,3,1_session_10.csv,4,7,1,1,2,7,1,4,7,4.0,1,3.0,3.0,6,6,-3,3,1.0,1.0,2.0,3.0,3.0,2.0,TRT,0,6,3,-2.0,1.0,-1.0,0.0,-2.0,-1.0
1,1,1,1,2,3,3,10,3,1,3,2_session_10.csv,4,7,1,1,1,4,7,1,7,4.0,1,3.0,3.0,6,-3,6,3,2.0,2.0,3.0,1.0,1.0,3.0,WLB,3,0,6,1.0,-2.0,-1.0,-1.0,0.0,-2.0
2,2,1,2,3,1,2,10,3,1,3,3_session_10.csv,4,7,1,1,2,7,1,4,7,4.0,1,3.0,3.0,6,6,-3,3,1.0,1.0,2.0,3.0,3.0,2.0,TRT,0,6,3,-2.0,1.0,-1.0,0.0,-2.0,-1.0
3,3,1,1,2,3,3,10,3,1,3,4_session_10.csv,4,7,1,1,1,4,7,1,7,4.0,1,3.0,3.0,6,-3,6,3,2.0,2.0,3.0,1.0,1.0,3.0,WLB,3,0,6,1.0,-2.0,-1.0,-1.0,0.0,-2.0
4,4,1,3,1,2,6,10,3,1,3,5_session_10.csv,4,7,1,1,3,1,4,7,7,4.0,1,3.0,3.0,6,-3,-3,-6,3.0,3.0,1.0,2.0,2.0,1.0,CMP,6,3,0,1.0,1.0,2.0,-2.0,-1.0,0.0
5,5,1,1,2,3,3,10,3,1,3,6_session_10.csv,4,7,1,1,1,4,7,1,7,4.0,1,3.0,3.0,6,-3,6,3,2.0,2.0,3.0,1.0,1.0,3.0,WLB,3,0,6,1.0,-2.0,-1.0,-1.0,0.0,-2.0
6,6,1,2,3,1,2,10,3,1,3,7_session_10.csv,4,7,1,1,2,7,1,4,7,4.0,1,3.0,3.0,6,6,-3,3,1.0,1.0,2.0,3.0,3.0,2.0,TRT,0,6,3,-2.0,1.0,-1.0,0.0,-2.0,-1.0
7,7,1,2,3,1,2,10,3,1,3,8_session_10.csv,4,7,1,1,2,7,1,4,7,4.0,1,3.0,3.0,6,6,-3,3,1.0,1.0,2.0,3.0,3.0,2.0,TRT,0,6,3,-2.0,1.0,-1.0,0.0,-2.0,-1.0
8,8,1,2,3,1,2,10,3,1,3,9_session_10.csv,4,7,1,1,2,7,1,4,7,4.0,1,3.0,3.0,6,6,-3,3,1.0,1.0,2.0,3.0,3.0,2.0,TRT,0,6,3,-2.0,1.0,-1.0,0.0,-2.0,-1.0
9,9,1,1,2,3,3,10,3,1,3,10_session_10.csv,4,7,1,1,1,4,7,1,7,4.0,1,3.0,3.0,6,-3,6,3,2.0,2.0,3.0,1.0,1.0,3.0,WLB,3,0,6,1.0,-2.0,-1.0,-1.0,0.0,-2.0
10,10,1,2,3,1,2,10,3,1,3,11_session_10.csv,4,7,1,1,2,7,1,4,7,4.0,1,3.0,3.0,6,6,-3,3,1.0,1.0,2.0,3.0,3.0,2.0,TRT,0,6,3,-2.0,1.0,-1.0,0.0,-2.0,-1.0
11,11,1,2,3,1,2,10,3,1,3,12_session_10.csv,4,7,1,1,2,7,1,4,7,4.0,1,3.0,3.0,6,6,-3,3,1.0,1.0,2.0,3.0,3.0,2.0,TRT,0,6,3,-2.0,1.0,-1.0,0.0,-2.0,-1.0
12,12,1,2,3,1,2,10,3,1,3,13_session_10.csv,4,7,1,1,2,7,1,4,7,4.0,1,3.0,3.0,6,6,-3,3,1.0,1.0,2.0,3.0,3.0,2.0,TRT,0,6,3,-2.0,1.0,-1.0,0.0,-2.0,-1.0
13,13,1,1,2,3,3,10,3,1,3,14_session_10.csv,4,7,1,1,1,4,7,1,7,4.0,1,3.0,3.0,6,-3,6,3,2.0,2.0,3.0,1.0,1.0,3.0,WLB,3,0,6,1.0,-2.0,-1.0,-1.0,0.0,-2.0
14,14,1,2,3,1,2,10,3,1,3,15_session_10.csv,4,7,1,1,2,7,1,4,7,4.0,1,3.0,3.0,6,6,-3,3,1.0,1.0,2.0,3.0,3.0,2.0,TRT,0,6,3,-2.0,1.0,-1.0,0.0,-2.0,-1.0
15,15,2,1,2,3,3,10,3,1,3,16_session_10.csv,4,7,1,1,2,4,7,1,7,4.0,1,3.0,3.0,6,-3,6,3,2.0,2.0,3.0,1.0,1.0,3.0,WLB,3,0,6,1.0,-2.0,-1.0,-1.0,0.0,-2.0
16,16,1,3,1,2,6,10,3,1,3,17_session_10.csv,4,7,1,1,3,1,4,7,7,4.0,1,3.0,3.0,6,-3,-3,-6,3.0,3.0,1.0,2.0,2.0,1.0,CMP,6,3,0,1.0,1.0,2.0,-2.0,-1.0,0.0
17,17,2,1,2,3,3,10,3,1,3,18_session_10.csv,4,7,1,1,2,4,7,1,7,4.0,1,3.0,3.0,6,-3,6,3,2.0,2.0,3.0,1.0,1.0,3.0,WLB,3,0,6,1.0,-2.0,-1.0,-1.0,0.0,-2.0
18,18,1,2,3,1,2,10,3,1,3,19_session_10.csv,4,7,1,1,2,7,1,4,7,4.0,1,3.0,3.0,6,6,-3,3,1.0,1.0,2.0,3.0,3.0,2.0,TRT,0,6,3,-2.0,1.0,-1.0,0.0,-2.0,-1.0
19,19,1,2,3,1,2,10,3,1,3,20_session_10.csv,4,7,1,1,2,7,1,4,7,4.0,1,3.0,3.0,6,6,-3,3,1.0,1.0,2.0,3.0,3.0,2.0,TRT,0,6,3,-2.0,1.0,-1.0,0.0,-2.0,-1.0
20,20,1,2,3,1,2,10,3,1,3,21_session_10.csv,4,7,1,1,2,7,1,4,7,4.0,1,3.0,3.0,6,6,-3,3,1.0,1.0,2.0,3.0,3.0,2.0,TRT,0,6,3,-2.0,1.0,-1.0,0.0,-2.0,-1.0
21,21,2,1,2,3,3,10,3,1,3,22_session_10.csv,4,7,1,1,2,4,7,1,7,4.0,1,3.0,3.0,6,-3,6,3,2.0,2.0,3.0,1.0,1.0,3.0,WLB,3,0,6,1.0,-2.0,-1.0,-1.0,0.0,-2.0
22,22,1,2,3,1,2,10,3,1,3,23_session_10.csv,4,7,1,1,2,7,1,4,7,4.0,1,3.0,3.0,6,6,-3,3,1.0,1.0,2.0,3.0,3.0,2.0,TRT,0,6,3,-2.0,1.0,-1.0,0.0,-2.0,-1.0
23,23,1,2,3,1,2,10,3,1,3,24_session_10.csv,4,7,1,1,2,7,1,4,7,4.0,1,3.0,3.0,6,6,-3,3,1.0,1.0,2.0,3.0,3.0,2.0,TRT,0,6,3,-2.0,1.0,-1.0,0.0,-2.0,-1.0
24,24,1,3,1,2,6,10,3,1,3,1_session_10.csv,4,5,3,1,3,3,4,5,5,4.0,3,1.0,1.0,2,-1,-1,-2,3.0,3.0,1.0,2.0,2.0,1.0,CMP,2,1,0,1.0,1.0,2.0,-2.0,-1.0,0.0
25,25,1,2,3,1,2,10,3,1,3,2_session_10.csv,4,5,3,1,2,5,3,4,5,4.0,3,1.0,1.0,2,2,-1,1,1.0,1.0,2.0,3.0,3.0,2.0,TRT,0,2,1,-2.0,1.0,-1.0,0.0,-2.0,-1.0
26,26,1,2,3,1,2,10,3,1,3,3_session_10.csv,4,5,3,1,2,5,3,4,5,4.0,3,1.0,1.0,2,2,-1,1,1.0,1.0,2.0,3.0,3.0,2.0,TRT,0,2,1,-2.0,1.0,-1.0,0.0,-2.0,-1.0
27,27,1,2,3,1,2,10,3,1,3,4_session_10.csv,4,5,3,1,2,5,3,4,5,4.0,3,1.0,1.0,2,2,-1,1,1.0,1.0,2.0,3.0,3.0,2.0,TRT,0,2,1,-2.0,1.0,-1.0,0.0,-2.0,-1.0
28,28,2,1,2,3,3,10,3,1,3,5_session_10.csv,4,5,3,1,2,4,5,3,5,4.0,3,1.0,1.0,2,-1,2,1,2.0,2.0,3.0,1.0,1.0,3.0,WLB,1,0,2,1.0,-2.0,-1.0,-1.0,0.0,-2.0
29,29,1,1,2,3,3,10,3,1,3,6_session_10.csv,4,5,3,1,1,4,5,3,5,4.0,3,1.0,1.0,2,-1,2,1,2.0,2.0,3.0,1.0,1.0,3.0,WLB,1,0,2,1.0,-2.0,-1.0,-1.0,0.0,-2.0
30,30,1,2,3,1,2,10,3,1,3,7_session_10.csv,4,5,3,1,2,5,3,4,5,4.0,3,1.0,1.0,2,2,-1,1,1.0,1.0,2.0,3.0,3.0,2.0,TRT,0,2,1,-2.0,1.0,-1.0,0.0,-2.0,-1.0
31,31,1,1,2,3,3,10,3,1,3,8_session_10.csv,4,5,3,1,1,4,5,3,5,4.0,3,1.0,1.0,2,-1,2,1,2.0,2.0,3.0,1.0,1.0,3.0,WLB,1,0,2,1.0,-2.0,-1.0,-1.0,0.0,-2.0
32,32,1,3,1,2,6,10,3,1,3,9_session_10.csv,4,5,3,1,3,3,4,5,5,4.0,3,1.0,1.0,2,-1,-1,-2,3.0,3.0,1.0,2.0,2.0,1.0,CMP,2,1,0,1.0,1.0,2.0,-2.0,-1.0,0.0
33,33,2,3,1,2,6,10,3,1,3,10_session_10.csv,4,5,3,1,1,3,4,5,5,4.0,3,1.0,1.0,2,-1,-1,-2,3.0,3.0,1.0,2.0,2.0,1.0,CMP,2,1,0,1.0,1.0,2.0,-2.0,-1.0,0.0
34,34,1,1,2,3,3,10,3,1,3,11_session_10.csv,4,5,3,1,1,4,5,3,5,4.0,3,1.0,1.0,2,-1,2,1,2.0,2.0,3.0,1.0,1.0,3.0,WLB,1,0,2,1.0,-2.0,-1.0,-1.0,0.0,-2.0
35,35,1,2,3,1,2,10,3,1,3,12_session_10.csv,4,5,3,1,2,5,3,4,5,4.0,3,1.0,1.0,2,2,-1,1,1.0,1.0,2.0,3.0,3.0,2.0,TRT,0,2,1,-2.0,1.0,-1.0,0.0,-2.0,-1.0
36,36,1,3,1,2,6,10,3,1,3,13_session_10.csv,4,5,3,1,3,3,4,5,5,4.0,3,1.0,1.0,2,-1,-1,-2,3.0,3.0,1.0,2.0,2.0,1.0,CMP,2,1,0,1.0,1.0,2.0,-2.0,-1.0,0.0
37,37,1,2,3,1,2,10,3,1,3,14_session_10.csv,4,5,3,1,2,5,3,4,5,4.0,3,1.0,1.0,2,2,-1,1,1.0,1.0,2.0,3.0,3.0,2.0,TRT,0,2,1,-2.0,1.0,-1.0,0.0,-2.0,-1.0
38,38,1,2,3,1,2,10,3,1,3,15_session_10.csv,4,5,3,1,2,5,3,4,5,4.0,3,1.0,1.0,2,2,-1,1,1.0,1.0,2.0,3.0,3.0,2.0,TRT,0,2,1,-2.0,1.0,-1.0,0.0,-2.0,-1.0
39,39,1,2,3,1,2,10,3,1,3,16_session_10.csv,4,5,3,1,2,5,3,4,5,4.0,3,1.0,1.0,2,2,-1,1,1.0,1.0,2.0,3.0,3.0,2.0,TRT,0,2,1,-2.0,1.0,-1.0,0.0,-2.0,-1.0
40,40,2,1,2,3,3,10,3,1,3,17_session_10.csv,4,5,3,1,2,4,5,3,5,4.0,3,1.0,1.0,2,-1,2,1,2.0,2.0,3.0,1.0,1.0,3.0,WLB,1,0,2,1.0,-2.0,-1.0,-1.0,0.0,-2.0
41,41,1,1,2,3,3,10,3,1,3,18_session_10.csv,4,5,3,1,1,4,5,3,5,4.0,3,1.0,1.0,2,-1,2,1,2.0,2.0,3.0,1.0,1.0,3.0,WLB,1,0,2,1.0,-2.0,-1.0,-1.0,0.0,-2.0
42,42,1,2,3,1,2,10,3,1,3,19_session_10.csv,4,5,3,1,2,5,3,4,5,4.0,3,1.0,1.0,2,2,-1,1,1.0,1.0,2.0,3.0,3.0,2.0,TRT,0,2,1,-2.0,1.0,-1.0,0.0,-2.0,-1.0
43,43,1,1,2,3,3,10,3,1,3,20_session_10.csv,4,5,3,1,1,4,5,3,5,4.0,3,1.0,1.0,2,-1,2,1,2.0,2.0,3.0,1.0,1.0,3.0,WLB,1,0,2,1.0,-2.0,-1.0,-1.0,0.0,-2.0
44,44,2,3,1,2,6,10,3,1,3,21_session_10.csv,4,5,3,1,1,3,4,5,5,4.0,3,1.0,1.0,2,-1,-1,-2,3.0,3.0,1.0,2.0,2.0,1.0,CMP,2,1,0,1.0,1.0,2.0,-2.0,-1.0,0.0
45,45,2,3,1,2,6,10,3,1,3,22_session_10.csv,4,5,3,1,1,3,4,5,5,4.0,3,1.0,1.0,2,-1,-1,-2,3.0,3.0,1.0,2.0,2.0,1.0,CMP,2,1,0,1.0,1.0,2.0,-2.0,-1.0,0.0
46,46,1,1,2,3,3,10,3,1,3,23_session_10.csv,4,5,3,1,1,4,5,3,5,4.0,3,1.0,1.0,2,-1,2,1,2.0,2.0,3.0,1.0,1.0,3.0,WLB,1,0,2,1.0,-2.0,-1.0,-1.0,0.0,-2.0
47,47,1,2,3,1,2,10,3,1,3,24_session_10.csv,4,5,3,1,2,5,3,4,5,4.0,3,1.0,1.0,2,2,-1,1,1.0,1.0,2.0,3.0,3.0,2.0,TRT,0,2,1,-2.0,1.0,-1.0,0.0,-2.0,-1.0
48,48,1,3,1,2,2,10,3,1,3,1_session_10.csv,1,4,7,1,3,7,1,4,7,4.0,1,3.0,3.0,6,6,-3,3,1.0,1.0,2.0,3.0,3.0,2.0,TRT,0,6,3,-2.0,1.0,-1.0,0.0,-2.0,-1.0
49,49,1,2,3,1,3,10,3,1,3,2_session_10.csv,1,4,7,1,2,4,7,1,7,4.0,1,3.0,3.0,6,-3,6,3,2.0,2.0,3.0,1.0,1.0,3.0,WLB,3,0,6,1.0,-2.0,-1.0,-1.0,0.0,-2.0
50,50,1,1,2,3,6,10,3,1,3,3_session_10.csv,1,4,7,1,1,1,4,7,7,4.0,1,3.0,3.0,6,-3,-3,-6,3.0,3.0,1.0,2.0,2.0,1.0,CMP,6,3,0,1.0,1.0,2.0,-2.0,-1.0,0.0
51,51,1,2,3,1,3,10,3,1,3,4_session_10.csv,1,4,7,1,2,4,7,1,7,4.0,1,3.0,3.0,6,-3,6,3,2.0,2.0,3.0,1.0,1.0,3.0,WLB,3,0,6,1.0,-2.0,-1.0,-1.0,0.0,-2.0
52,52,1,3,1,2,2,10,3,1,3,5_session_10.csv,1,4,7,1,3,7,1,4,7,4.0,1,3.0,3.0,6,6,-3,3,1.0,1.0,2.0,3.0,3.0,2.0,TRT,0,6,3,-2.0,1.0,-1.0,0.0,-2.0,-1.0
53,53,1,2,3,1,3,10,3,1,3,6_session_10.csv,1,4,7,1,2,4,7,1,7,4.0,1,3.0,3.0,6,-3,6,3,2.0,2.0,3.0,1.0,1.0,3.0,WLB,3,0,6,1.0,-2.0,-1.0,-1.0,0.0,-2.0
54,54,1,3,1,2,2,10,3,1,3,7_session_10.csv,1,4,7,1,3,7,1,4,7,4.0,1,3.0,3.0,6,6,-3,3,1.0,1.0,2.0,3.0,3.0,2.0,TRT,0,6,3,-2.0,1.0,-1.0,0.0,-2.0,-1.0
55,55,1,3,1,2,2,10,3,1,3,8_session_10.csv,1,4,7,1,3,7,1,4,7,4.0,1,3.0,3.0,6,6,-3,3,1.0,1.0,2.0,3.0,3.0,2.0,TRT,0,6,3,-2.0,1.0,-1.0,0.0,-2.0,-1.0
56,56,1,3,1,2,2,10,3,1,3,9_session_10.csv,1,4,7,1,3,7,1,4,7,4.0,1,3.0,3.0,6,6,-3,3,1.0,1.0,2.0,3.0,3.0,2.0,TRT,0,6,3,-2.0,1.0,-1.0,0.0,-2.0,-1.0
57,57,1,3,1,2,2,10,3,1,3,10_session_10.csv,1,4,7,1,3,7,1,4,7,4.0,1,3.0,3.0,6,6,-3,3,1.0,1.0,2.0,3.0,3.0,2.0,TRT,0,6,3,-2.0,1.0,-1.0,0.0,-2.0,-1.0
58,58,1,3,1,2,2,10,3,1,3,11_session_10.csv,1,4,7,1,3,7,1,4,7,4.0,1,3.0,3.0,6,6,-3,3,1.0,1.0,2.0,3.0,3.0,2.0,TRT,0,6,3,-2.0,1.0,-1.0,0.0,-2.0,-1.0
59,59,2,2,3,1,3,10,3,1,3,12_session_10.csv,1,4,7,1,3,4,7,1,7,4.0,1,3.0,3.0,6,-3,6,3,2.0,2.0,3.0,1.0,1.0,3.0,WLB,3,0,6,1.0,-2.0,-1.0,-1.0,0.0,-2.0
60,60,1,3,1,2,2,10,3,1,3,13_session_10.csv,1,4,7,1,3,7,1,4,7,4.0,1,3.0,3.0,6,6,-3,3,1.0,1.0,2.0,3.0,3.0,2.0,TRT,0,6,3,-2.0,1.0,-1.0,0.0,-2.0,-1.0
61,61,1,2,3,1,3,10,3,1,3,14_session_10.csv,1,4,7,1,2,4,7,1,7,4.0,1,3.0,3.0,6,-3,6,3,2.0,2.0,3.0,1.0,1.0,3.0,WLB,3,0,6,1.0,-2.0,-1.0,-1.0,0.0,-2.0
62,62,3,1,2,3,6,10,3,1,3,15_session_10.csv,1,4,7,1,3,1,4,7,7,4.0,1,3.0,3.0,6,-3,-3,-6,3.0,3.0,1.0,2.0,2.0,1.0,CMP,6,3,0,1.0,1.0,2.0,-2.0,-1.0,0.0
63,63,2,2,3,1,3,10,3,1,3,16_session_10.csv,1,4,7,1,3,4,7,1,7,4.0,1,3.0,3.0,6,-3,6,3,2.0,2.0,3.0,1.0,1.0,3.0,WLB,3,0,6,1.0,-2.0,-1.0,-1.0,0.0,-2.0
64,64,1,3,1,2,2,10,3,1,3,17_session_10.csv,1,4,7,1,3,7,1,4,7,4.0,1,3.0,3.0,6,6,-3,3,1.0,1.0,2.0,3.0,3.0,2.0,TRT,0,6,3,-2.0,1.0,-1.0,0.0,-2.0,-1.0
65,65,1,2,3,1,3,10,3,1,3,18_session_10.csv,1,4,7,1,2,4,7,1,7,4.0,1,3.0,3.0,6,-3,6,3,2.0,2.0,3.0,1.0,1.0,3.0,WLB,3,0,6,1.0,-2.0,-1.0,-1.0,0.0,-2.0
66,66,1,3,1,2,2,10,3,1,3,19_session_10.csv,1,4,7,1,3,7,1,4,7,4.0,1,3.0,3.0,6,6,-3,3,1.0,1.0,2.0,3.0,3.0,2.0,TRT,0,6,3,-2.0,1.0,-1.0,0.0,-2.0,-1.0
67,67,1,3,1,2,2,10,3,1,3,20_session_10.csv,1,4,7,1,3,7,1,4,7,4.0,1,3.0,3.0,6,6,-3,3,1.0,1.0,2.0,3.0,3.0,2.0,TRT,0,6,3,-2.0,1.0,-1.0,0.0,-2.0,-1.0
68,68,1,3,1,2,2,10,3,1,3,21_session_10.csv,1,4,7,1,3,7,1,4,7,4.0,1,3.0,3.0,6,6,-3,3,1.0,1.0,2.0,3.0,3.0,2.0,TRT,0,6,3,-2.0,1.0,-1.0,0.0,-2.0,-1.0
69,69,1,3,1,2,2,10,3,1,3,22_session_10.csv,1,4,7,1,3,7,1,4,7,4.0,1,3.0,3.0,6,6,-3,3,1.0,1.0,2.0,3.0,3.0,2.0,TRT,0,6,3,-2.0,1.0,-1.0,0.0,-2.0,-1.0
70,70,1,3,1,2,2,10,3,1,3,23_session_10.csv,1,4,7,1,3,7,1,4,7,4.0,1,3.0,3.0,6,6,-3,3,1.0,1.0,2.0,3.0,3.0,2.0,TRT,0,6,3,-2.0,1.0,-1.0,0.0,-2.0,-1.0
71,71,1,2,3,1,3,10,3,1,3,24_session_10.csv,1,4,7,1,2,4,7,1,7,4.0,1,3.0,3.0,6,-3,6,3,2.0,2.0,3.0,1.0,1.0,3.0,WLB,3,0,6,1.0,-2.0,-1.0,-1.0,0.0,-2.0
72,72,1,1,2,3,5,10,3,1,3,1_session_10.csv,3,5,4,1,1,3,5,4,5,4.0,3,1.0,1.0,2,-2,1,-1,3.0,2.0,2.0,3.0,1.0,1.0,CMPLB,2,0,1,2.0,-1.0,1.0,-2.0,0.0,-1.0
73,73,1,2,3,1,1,10,3,1,3,2_session_10.csv,3,5,4,1,2,5,4,3,5,4.0,3,1.0,1.0,2,1,1,2,1.0,1.0,3.0,2.0,2.0,3.0,TRT,0,1,2,-1.0,-1.0,-2.0,0.0,-1.0,-2.0
74,74,1,1,2,3,5,10,3,1,3,3_session_10.csv,3,5,4,1,1,3,5,4,5,4.0,3,1.0,1.0,2,-2,1,-1,3.0,2.0,2.0,3.0,1.0,1.0,CMPLB,2,0,1,2.0,-1.0,1.0,-2.0,0.0,-1.0
75,75,2,3,1,2,4,10,3,1,3,4_session_10.csv,3,5,4,1,1,4,3,5,5,4.0,3,1.0,1.0,2,1,-2,-1,2.0,3.0,1.0,1.0,3.0,2.0,SLB,1,2,0,-1.0,2.0,1.0,-1.0,-2.0,0.0
76,76,2,3,1,2,4,10,3,1,3,5_session_10.csv,3,5,4,1,1,4,3,5,5,4.0,3,1.0,1.0,2,1,-2,-1,2.0,3.0,1.0,1.0,3.0,2.0,SLB,1,2,0,-1.0,2.0,1.0,-1.0,-2.0,0.0
77,77,1,2,3,1,1,10,3,1,3,6_session_10.csv,3,5,4,1,2,5,4,3,5,4.0,3,1.0,1.0,2,1,1,2,1.0,1.0,3.0,2.0,2.0,3.0,TRT,0,1,2,-1.0,-1.0,-2.0,0.0,-1.0,-2.0
78,78,3,2,3,1,1,10,3,1,3,7_session_10.csv,3,5,4,1,1,5,4,3,5,4.0,3,1.0,1.0,2,1,1,2,1.0,1.0,3.0,2.0,2.0,3.0,TRT,0,1,2,-1.0,-1.0,-2.0,0.0,-1.0,-2.0
79,79,1,2,3,1,1,10,3,1,3,8_session_10.csv,3,5,4,1,2,5,4,3,5,4.0,3,1.0,1.0,2,1,1,2,1.0,1.0,3.0,2.0,2.0,3.0,TRT,0,1,2,-1.0,-1.0,-2.0,0.0,-1.0,-2.0
80,80,1,2,3,1,1,10,3,1,3,9_session_10.csv,3,5,4,1,2,5,4,3,5,4.0,3,1.0,1.0,2,1,1,2,1.0,1.0,3.0,2.0,2.0,3.0,TRT,0,1,2,-1.0,-1.0,-2.0,0.0,-1.0,-2.0
81,81,1,3,1,2,4,10,3,1,3,10_session_10.csv,3,5,4,1,3,4,3,5,5,4.0,3,1.0,1.0,2,1,-2,-1,2.0,3.0,1.0,1.0,3.0,2.0,SLB,1,2,0,-1.0,2.0,1.0,-1.0,-2.0,0.0
82,82,2,1,2,3,5,10,3,1,3,11_session_10.csv,3,5,4,1,2,3,5,4,5,4.0,3,1.0,1.0,2,-2,1,-1,3.0,2.0,2.0,3.0,1.0,1.0,CMPLB,2,0,1,2.0,-1.0,1.0,-2.0,0.0,-1.0
83,83,1,3,1,2,4,10,3,1,3,12_session_10.csv,3,5,4,1,3,4,3,5,5,4.0,3,1.0,1.0,2,1,-2,-1,2.0,3.0,1.0,1.0,3.0,2.0,SLB,1,2,0,-1.0,2.0,1.0,-1.0,-2.0,0.0
84,84,1,1,2,3,5,10,3,1,3,13_session_10.csv,3,5,4,1,1,3,5,4,5,4.0,3,1.0,1.0,2,-2,1,-1,3.0,2.0,2.0,3.0,1.0,1.0,CMPLB,2,0,1,2.0,-1.0,1.0,-2.0,0.0,-1.0
85,85,1,2,3,1,1,10,3,1,3,14_session_10.csv,3,5,4,1,2,5,4,3,5,4.0,3,1.0,1.0,2,1,1,2,1.0,1.0,3.0,2.0,2.0,3.0,TRT,0,1,2,-1.0,-1.0,-2.0,0.0,-1.0,-2.0
86,86,1,1,2,3,5,10,3,1,3,15_session_10.csv,3,5,4,1,1,3,5,4,5,4.0,3,1.0,1.0,2,-2,1,-1,3.0,2.0,2.0,3.0,1.0,1.0,CMPLB,2,0,1,2.0,-1.0,1.0,-2.0,0.0,-1.0
87,87,1,3,1,2,4,10,3,1,3,16_session_10.csv,3,5,4,1,3,4,3,5,5,4.0,3,1.0,1.0,2,1,-2,-1,2.0,3.0,1.0,1.0,3.0,2.0,SLB,1,2,0,-1.0,2.0,1.0,-1.0,-2.0,0.0
88,88,3,3,1,2,4,10,3,1,3,17_session_10.csv,3,5,4,1,2,4,3,5,5,4.0,3,1.0,1.0,2,1,-2,-1,2.0,3.0,1.0,1.0,3.0,2.0,SLB,1,2,0,-1.0,2.0,1.0,-1.0,-2.0,0.0
89,89,1,2,3,1,1,10,3,1,3,18_session_10.csv,3,5,4,1,2,5,4,3,5,4.0,3,1.0,1.0,2,1,1,2,1.0,1.0,3.0,2.0,2.0,3.0,TRT,0,1,2,-1.0,-1.0,-2.0,0.0,-1.0,-2.0
90,90,1,2,3,1,1,10,3,1,3,19_session_10.csv,3,5,4,1,2,5,4,3,5,4.0,3,1.0,1.0,2,1,1,2,1.0,1.0,3.0,2.0,2.0,3.0,TRT,0,1,2,-1.0,-1.0,-2.0,0.0,-1.0,-2.0
91,91,1,2,3,1,1,10,3,1,3,20_session_10.csv,3,5,4,1,2,5,4,3,5,4.0,3,1.0,1.0,2,1,1,2,1.0,1.0,3.0,2.0,2.0,3.0,TRT,0,1,2,-1.0,-1.0,-2.0,0.0,-1.0,-2.0
92,92,1,2,3,1,1,10,3,1,3,21_session_10.csv,3,5,4,1,2,5,4,3,5,4.0,3,1.0,1.0,2,1,1,2,1.0,1.0,3.0,2.0,2.0,3.0,TRT,0,1,2,-1.0,-1.0,-2.0,0.0,-1.0,-2.0
93,93,1,3,1,2,4,10,3,1,3,22_session_10.csv,3,5,4,1,3,4,3,5,5,4.0,3,1.0,1.0,2,1,-2,-1,2.0,3.0,1.0,1.0,3.0,2.0,SLB,1,2,0,-1.0,2.0,1.0,-1.0,-2.0,0.0
94,94,2,1,2,3,5,10,3,1,3,23_session_10.csv,3,5,4,1,2,3,5,4,5,4.0,3,1.0,1.0,2,-2,1,-1,3.0,2.0,2.0,3.0,1.0,1.0,CMPLB,2,0,1,2.0,-1.0,1.0,-2.0,0.0,-1.0
95,95,3,3,1,2,4,10,3,1,3,24_session_10.csv,3,5,4,1,2,4,3,5,5,4.0,3,1.0,1.0,2,1,-2,-1,2.0,3.0,1.0,1.0,3.0,2.0,SLB,1,2,0,-1.0,2.0,1.0,-1.0,-2.0,0.0
96,96,1,3,1,2,2,10,3,1,3,1_session_10.csv,3,4,5,1,3,5,3,4,5,4.0,3,1.0,1.0,2,2,-1,1,1.0,1.0,2.0,3.0,3.0,2.0,TRT,0,2,1,-2.0,1.0,-1.0,0.0,-2.0,-1.0
97,97,1,3,1,2,2,10,3,1,3,2_session_10.csv,3,4,5,1,3,5,3,4,5,4.0,3,1.0,1.0,2,2,-1,1,1.0,1.0,2.0,3.0,3.0,2.0,TRT,0,2,1,-2.0,1.0,-1.0,0.0,-2.0,-1.0
98,98,1,3,1,2,2,10,3,1,3,3_session_10.csv,3,4,5,1,3,5,3,4,5,4.0,3,1.0,1.0,2,2,-1,1,1.0,1.0,2.0,3.0,3.0,2.0,TRT,0,2,1,-2.0,1.0,-1.0,0.0,-2.0,-1.0
99,99,1,3,1,2,2,10,3,1,3,4_session_10.csv,3,4,5,1,3,5,3,4,5,4.0,3,1.0,1.0,2,2,-1,1,1.0,1.0,2.0,3.0,3.0,2.0,TRT,0,2,1,-2.0,1.0,-1.0,0.0,-2.0,-1.0
100,100,1,3,1,2,2,10,3,1,3,5_session_10.csv,3,4,5,1,3,5,3,4,5,4.0,3,1.0,1.0,2,2,-1,1,1.0,1.0,2.0,3.0,3.0,2.0,TRT,0,2,1,-2.0,1.0,-1.0,0.0,-2.0,-1.0
