,VoterID,Util1,Util2,Util3,Util4,NumVotes,NumberOfCandidates,Pref1,Pref2,Pref3,Pref4,VotesCand1PreVote,VotesCand2PreVote,RoundIndex,VotesCand3PreVote,VotesCand4PreVote,PointsPreVote,Vote,GameIndexInSession,SessionIDX,Action,VotesPref1PreVote,VotesPref2PreVote,VotesPref3PreVote,VotesPref4PreVote,VotesLeader_poll,VotesRunnerup_poll,VotesThird_poll,GAP12_poll,GAP23_poll,GAP13_poll,GAP12_pref_poll,GAP23_pref_poll,GAP13_pref_poll,VotesFourth_poll,GAP14_poll,GAP24_poll,GAP34_poll,GAP14_pref_poll,GAP24_pref_poll,GAP34_pref_poll,Pref1_pos,Pos1_pref,Pref3_pos,Pos2_pref,Pref4_pos,Pos3_pref,Pref2_pos,Pos4_pref,Scenario,Scenario_type,GAPL1_Pref_poll,GAPL2_Pref_poll,GAPL3_Pref_poll,GAPL4_Pref_poll,Pos12,Pos23,Pos13,Pos14,Pos24,Pos34,PosL1,PosL2,PosL3,PosL4
1666,AVUCJU0PCJ7X3,15,10,5,0,1006,4,4,3,1,2,250,256,1666,255,244,0,4,31,1,1,244,255,250,256,256,255.0,250,1.0,5.0,6,-11,5,-6,244,12,11.0,6,-12,-1,-6,4.0,4.0,3.0,2.0,1.0,3.0,2.0,1.0,22,CMP,12,1,6,0,2.0,-1.0,1.0,3.0,1.0,2.0,-3.0,-1.0,-2.0,0.0
1667,A9HQ3E0F2AGVO,15,10,5,0,1007,4,3,1,4,2,183,460,1667,184,179,0,3,18,1,1,184,183,179,460,460,184.0,183,276.0,1.0,277,1,4,5,179,281,5.0,4,-276,-277,-281,2.0,4.0,4.0,1.0,1.0,2.0,3.0,3.0,19,SLB,276,277,281,0,-1.0,-1.0,-2.0,1.0,2.0,3.0,-1.0,-2.0,-3.0,0.0
1668,AVUCJU0PCJ7X3,15,10,5,0,1007,4,3,2,4,1,249,258,1668,256,243,10,2,32,1,2,256,258,243,249,258,256.0,249,2.0,7.0,9,-2,15,13,243,15,13.0,6,7,9,-6,2.0,2.0,4.0,1.0,3.0,4.0,1.0,3.0,8,WLB,2,0,15,9,1.0,-3.0,-2.0,-1.0,-2.0,1.0,-1.0,0.0,-3.0,-2.0
1669,A9HQ3E0F2AGVO,15,10,5,0,1006,4,4,2,1,3,245,274,1669,246,240,10,4,19,1,1,240,274,245,246,274,246.0,245,28.0,1.0,29,-34,29,-5,240,34,6.0,5,-6,28,-1,4.0,2.0,3.0,4.0,2.0,3.0,1.0,1.0,12,WLB,34,0,29,28,3.0,-2.0,1.0,2.0,-1.0,1.0,-3.0,0.0,-2.0,-1.0
1670,A9HQ3E0F2AGVO,15,10,5,0,1007,4,3,4,2,1,233,311,1670,234,228,5,3,20,1,1,234,228,311,233,311,234.0,233,77.0,1.0,78,6,-83,-77,228,83,6.0,5,1,-5,78,2.0,3.0,1.0,1.0,3.0,4.0,4.0,2.0,14,LB,77,83,0,78,-2.0,3.0,1.0,-1.0,1.0,-2.0,-1.0,-3.0,0.0,-2.0
1671,A9HQ3E0F2AGVO,15,10,5,0,1006,4,4,2,3,1,248,261,1671,249,247,10,4,21,1,1,247,261,249,248,261,249.0,248,12.0,1.0,13,-14,12,-2,247,14,2.0,1,-1,13,1,4.0,2.0,2.0,3.0,3.0,4.0,1.0,1.0,10,WLB,14,0,12,13,3.0,-1.0,2.0,1.0,-2.0,-1.0,-3.0,0.0,-1.0,-2.0
1672,A9HQ3E0F2AGVO,15,10,5,0,1007,4,3,4,1,2,242,277,1672,276,211,7,3,22,1,1,276,211,242,277,277,276.0,242,1.0,34.0,35,65,-31,34,211,66,65.0,31,-1,-66,-35,2.0,4.0,3.0,1.0,1.0,3.0,4.0,2.0,20,SLB,1,66,35,0,-2.0,1.0,-1.0,1.0,3.0,2.0,-1.0,-3.0,-2.0,0.0
1673,A9HQ3E0F2AGVO,15,10,5,0,1006,4,1,3,2,4,245,274,1673,246,240,5,1,23,1,1,245,246,274,240,274,246.0,245,28.0,1.0,29,-1,-28,-29,240,34,6.0,5,5,6,34,3.0,3.0,1.0,2.0,4.0,1.0,2.0,4.0,15,LB,29,28,0,34,1.0,1.0,2.0,-1.0,-2.0,-3.0,-2.0,-1.0,0.0,-3.0
1674,A2GN5JHI8B2SO7,15,10,5,0,1006,4,1,4,3,2,251,281,1674,252,221,0,3,1,1,3,251,221,252,281,281,252.0,251,29.0,1.0,30,30,-31,-1,221,60,31.0,30,-30,-60,-29,3.0,4.0,2.0,3.0,1.0,1.0,4.0,2.0,23,SCMP,30,60,29,0,-1.0,2.0,1.0,2.0,3.0,1.0,-2.0,-3.0,-1.0,0.0
1675,A9HQ3E0F2AGVO,15,10,5,0,1007,4,3,4,2,1,171,489,1675,196,150,5,3,24,1,1,196,150,489,171,489,196.0,171,293.0,25.0,318,46,-339,-293,150,339,46.0,21,25,-21,318,2.0,3.0,1.0,1.0,3.0,4.0,4.0,2.0,14,LB,293,339,0,318,-2.0,3.0,1.0,-1.0,1.0,-2.0,-1.0,-3.0,0.0,-2.0
1676,A9HQ3E0F2AGVO,15,10,5,0,1007,4,1,2,3,4,169,481,1676,192,164,10,1,25,1,1,169,481,192,164,481,192.0,169,289.0,23.0,312,-312,289,-23,164,317,28.0,5,5,317,28,3.0,2.0,2.0,3.0,4.0,1.0,1.0,4.0,9,WLB,312,0,289,317,2.0,-1.0,1.0,-1.0,-3.0,-2.0,-2.0,0.0,-1.0,-3.0
1677,A2GN5JHI8B2SO7,15,10,5,0,1007,4,1,2,4,3,229,291,1677,262,224,10,2,2,1,2,229,291,224,262,291,262.0,229,29.0,33.0,62,-62,67,5,224,67,38.0,5,-33,29,-38,3.0,2.0,4.0,4.0,2.0,1.0,1.0,3.0,11,WLB,62,0,67,29,2.0,-3.0,-1.0,1.0,-1.0,2.0,-2.0,0.0,-3.0,-1.0
